10000
88.32, 236.82, 71.86
137.30, 68.96, 24.24
239.98, 355.68, 89.36
46.21, 317.85, 95.71
263.80, 273.78, 78.65
96.21, 24.63, 42.63
219.20, 257.55, 81.84
95.20, 40.71, 32.85
252.14, 347.13, 6.72
167.03, 116.67, 36.54
95.81, 204.23, 8.32
174.21, 194.36, 14.65
289.22, 321.31, 44.22
175.89, 172.09, 76.53
60.47, 127.55, 57.49
485.81, 322.26, 74.36
236.66, 281.11, 88.46
189.98, 158.13, 31.03
104.92, 247.35, 30.43
269.37, 189.29, 13.14
425.05, 439.53, 38.74
63.51, 231.50, 24.31
340.36, 53.96, 88.53
19.67, 313.87, 68.35
318.48, 81.87, 67.37
309.15, 312.10, 79.80
35.45, 131.72, 96.98
272.67, 297.97, 2.97
359.60, 467.80, 15.99
91.22, 290.41, 83.06
358.50, 370.08, 35.51
380.46, 189.35, 75.78
104.88, 363.19, 13.87
388.10, 228.17, 48.95
57.97, 359.26, 98.60
447.71, 360.48, 1.56
9.22, 123.81, 65.28
120.26, 161.52, 27.23
66.04, 17.44, 56.55
350.67, 138.23, 60.68
469.31, 2.75, 2.51
291.15, 366.08, 31.02
259.18, 246.21, 99.85
11.47, 169.15, 67.50
485.21, 103.08, 51.75
437.51, 193.27, 22.42
360.48, 161.09, 38.19
348.90, 254.34, 56.96
49.42, 148.15, 8.42
436.19, 337.43, 39.88
217.93, 194.49, 76.37
77.82, 138.42, 98.63
122.99, 491.04, 69.04
464.37, 142.81, 1.40
443.04, 117.19, 38.77
279.38, 487.08, 97.74
307.69, 35.13, 16.32
159.83, 310.08, 68.19
144.08, 275.86, 64.41
413.19, 37.28, 92.52
74.01, 487.72, 4.55
278.37, 111.61, 2.93
238.64, 93.33, 44.28
194.13, 155.00, 7.09
154.29, 118.49, 41.99
395.20, 474.90, 7.29
79.50, 128.22, 23.03
5.02, 284.22, 69.57
459.97, 444.79, 17.21
447.08, 43.50, 72.80
378.38, 241.26, 36.71
267.53, 22.10, 54.38
132.88, 15.46, 66.28
162.16, 75.01, 29.65
161.92, 164.72, 8.62
442.67, 304.57, 58.55
89.62, 215.23, 27.65
174.55, 285.18, 27.62
244.33, 22.14, 74.93
83.42, 436.38, 71.04
168.46, 261.53, 81.56
370.05, 497.74, 33.76
450.94, 95.17, 62.10
110.68, 450.54, 44.64
238.14, 315.44, 20.96
260.43, 209.30, 80.90
77.04, 384.24, 88.01
234.82, 31.05, 29.86
378.00, 378.86, 50.72
432.86, 428.69, 51.59
316.75, 260.11, 8.45
194.69, 483.57, 79.96
488.81, 399.73, 61.97
371.33, 399.99, 31.76
145.47, 253.15, 81.14
235.85, 488.24, 86.81
443.48, 257.03, 78.65
197.07, 68.76, 18.47
391.37, 277.17, 68.88
499.82, 119.21, 56.65
137.41, 47.58, 22.89
124.84, 400.91, 16.13
479.34, 334.60, 53.94
246.50, 365.08, 85.33
47.41, 346.54, 96.25
181.80, 413.31, 5.56
82.26, 0.17, 85.39
81.42, 134.66, 42.37
158.99, 363.23, 23.65
486.05, 25.82, 20.34
164.08, 229.62, 31.34
109.68, 482.53, 23.10
370.95, 164.57, 56.88
131.57, 93.97, 14.71
148.50, 290.58, 57.91
188.59, 38.59, 78.42
237.13, 387.66, 84.55
476.50, 231.60, 57.40
198.36, 362.32, 6.92
200.83, 376.35, 81.38
154.30, 113.39, 45.34
381.56, 283.01, 35.94
339.47, 101.41, 93.92
19.88, 303.64, 40.20
355.78, 323.33, 91.52
195.64, 53.80, 5.58
413.82, 220.05, 98.80
89.98, 310.97, 16.76
319.97, 111.18, 99.41
35.28, 160.04, 67.35
95.98, 373.85, 70.51
291.80, 161.23, 60.33
453.54, 71.26, 73.90
154.91, 104.71, 9.62
457.63, 406.25, 17.98
16.51, 355.49, 15.50
158.12, 35.42, 43.76
454.91, 441.36, 97.49
314.04, 246.12, 9.04
119.53, 459.11, 14.15
140.43, 80.61, 94.61
424.12, 133.82, 44.40
337.38, 5.58, 49.20
176.08, 22.49, 10.30
74.72, 478.74, 36.50
63.89, 471.77, 50.37
170.90, 75.00, 62.22
210.38, 81.18, 67.79
477.28, 10.82, 52.91
90.44, 151.04, 41.14
28.47, 261.74, 44.30
320.34, 469.15, 59.61
402.11, 317.27, 28.10
462.32, 378.81, 92.80
13.87, 269.89, 13.75
369.62, 430.04, 88.72
317.39, 206.17, 99.64
30.01, 112.05, 76.00
144.12, 67.61, 28.09
169.01, 260.80, 89.41
271.92, 91.49, 32.95
354.55, 289.62, 4.36
311.38, 439.15, 90.39
318.86, 471.69, 18.76
210.94, 482.99, 64.94
491.78, 166.49, 21.32
167.64, 268.07, 16.69
134.54, 197.33, 97.52
50.80, 199.68, 13.28
289.47, 110.22, 9.81
166.65, 349.18, 86.57
326.87, 343.21, 9.69
371.75, 229.10, 98.52
494.00, 468.46, 59.25
247.47, 275.20, 48.41
359.14, 201.73, 20.41
338.30, 403.62, 75.67
213.29, 367.28, 74.02
393.98, 195.91, 1.57
152.94, 22.52, 21.24
206.52, 316.16, 22.33
33.34, 49.50, 57.97
54.63, 495.99, 27.09
64.41, 271.19, 62.47
27.51, 147.07, 80.03
334.71, 112.41, 59.34
157.23, 188.74, 89.02
302.84, 60.84, 81.65
406.74, 324.02, 95.86
106.25, 254.28, 10.29
202.49, 72.59, 77.98
213.54, 490.92, 87.82
428.13, 186.61, 61.10
302.68, 389.03, 45.62
171.22, 447.05, 19.11
96.97, 377.61, 10.75
102.88, 78.01, 93.84
42.99, 238.52, 34.89
229.36, 435.12, 16.07
485.75, 110.22, 74.61
451.89, 34.96, 62.41
196.60, 261.59, 12.52
